name,id,top_kpop,genre,followers
KARD,2JhAlkmukNvarUpGhTFXUQ,1,['k-pop'],1747369
ITZY,2KC9Qb60EaY0kW4eH68vr3,1,"['k-pop', 'k-pop girl group']",5422873
 YOOK SUNGJAE (BTOB),2KbOz7b91wiUpnv34Twd9f,0,[],119
 KAMBO,2LE4iuwlb4vZMWKTw68g4i,0,[],264
 Nam Tae Hyun,2LQ4Ay1ClURp2tX1eFJiWh,0,[],2779
 Dayday,2M6pSBXyVDYo0IjlbW8Jj2,0,['k-rap'],5673
 GIRIBOY,2MtHuR0W2idZdF7x4wddqq,0,"['k-rap', 'korean r&b']",340161
Melotic,2O9yKxcDexzQAEtFvaK4ft,0,[],65
CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,1,['k-pop'],2084004
 BOYFRIEND,2Pw8E6zZoeuksVWtyZPnzd,0,"['k-pop', 'k-pop boy group']",324734
 TEDDY,2QDHZGfyq70z6T4e4Dr2t0,0,[],197
Orange Caramel,2QHTtUsN6Q13w3QHdfRqsK,0,"['k-pop', 'k-pop girl group']",310123
 SEULGI,2QM5S4yO6xHgnNvF0nbZZq,0,['k-pop'],892653
